music_id,song_title,genre,dif_simple,dif_normal,dif_hard,dif_extra
50,Jupiter II Europa,オリジナル,3,6,9,12
51,Lost Colors,オリジナル,3,5,7,
52,Five to Seven,オリジナル,4,7,11,
53,COZMIC OPERATION,オリジナル,3,5,9,
54,World Collapse,オリジナル,2,4,8,
55,BURN ALT AIR,ゲーム,3,6,9,
56,BEFORE TEN ORB,ゲーム,3,6,9,
57,Captain NEO -Confusion Mix-,ゲーム,4,5,7,
58, ,,,,,
59, ,,,,,
60,Pray,アニメ・ポップス,3,4,7,
61, ,,,,,
62, ,,,,,
63, ,,,,,
64, ,,,,,
65, ,,,,,
66, ,,,,,
67, ,,,,,
68, ,,,,,
69, ,,,,,
70,Crystal tears,アニメ・ポップス,4,6,9,
71, ,,,,,
72, ,,,,,
73,僕のサイノウ,ボーカロイド,3,5,7,
74, ,,,,,
75, ,,,,,
76,magnet,ボーカロイド,3,6,10,
77, ,,,,,
78, ,,,,,
79, ,,,,,
80,STORY,バラエティ,3,6,10,
81, ,,,,,
82,カゲロウデイズ,ボーカロイド,4,7,10,
83, ,,,,,
84,如月アテンション,ボーカロイド,3,5,8,
85, ,,,,,
86, ,,,,,
87,magician's operation,ボーカロイド,3,6,9,
88, ,,,,,
89, ,,,,,
90,Starlight Vision (GC Mix),東方アレンジ,3,6,9,11
91,Colors,東方アレンジ,3,6,9,11
92,Stardust Vox,オリジナル,4,6,10,12
93,No Way Out,オリジナル,4,6,10,
94,Sleep,オリジナル,2,4,7,
95, ,,,,,
96,Static Const Void,東方アレンジ,3,6,9,11
97,Punk Silent Night,バラエティ,3,5,8,
98,Sakura Remix,バラエティ,2,4,6,
99,Music Plot Type Three,オリジナル,1,2,3,
100,Flower of Gangster,ゲーム,2,4,7,
101,ゴーゴー幽霊船,アニメ・ポップス,3,5,8,11
102,結ンデ開イテ羅刹ト骸,ボーカロイド,1,4,7,11
103,Mrs.Pumpkinの滑稽な夢,ボーカロイド,2,5,7,
104, ,,,,,
105, ,,,,,
106,右肩の蝶,ボーカロイド,3,5,7,10
107, ,,,,,
108,恋愛フィロソフィア,ボーカロイド,3,6,10,
109,ブリキノダンス,ボーカロイド,2,5,10,
110,アンダワ -GC remix-,ボーカロイド,4,7,10,
111,ジベタトラベル,ボーカロイド,3,6,10,
112,プラスチックケージ -GC remix-,ボーカロイド,4,7,12,
113,ON THE VERGE OF REVIVAL(RED HARDCORE REMIX),ゲーム,4,6,10,
114,STAR COASTER,オリジナル,4,6,9,
115,SKYSCRAPER,オリジナル,3,5,10,
116,HB-axeleration,オリジナル,3,5,7,
117,聖者の鼓動,オリジナル,5,7,12,
118,SPACE ARCADIAN,オリジナル,2,4,8,
119,Satisfiction,オリジナル,5,7,10,
120, ,,,,,
121,CERAMIC HEART (ALR REWIND REMIX),ゲーム,3,6,9,
122,Period of Revolution,オリジナル,4,5,9,
123,Agent Angels,ゲーム,3,5,9,
124,Invader GIRL!,ゲーム,4,6,10,
125,ワンダーランドと羊の歌,ボーカロイド,2,4,8,
126,Geometric City -GC Remix-,ゲーム,2,4,8,
127,空想フォレスト,ボーカロイド,2,4,6,
128,オツキミリサイタル,ボーカロイド,3,5,9,
129,コノハの世界事情,ボーカロイド,4,5,10,
130,ロスタイムメモリー,ボーカロイド,3,5,8,
131, ,,,,,
132, ,,,,,
133,ダンシング☆サムライ,ボーカロイド,2,4,8,
134,THE WORLDS,ボーカロイド,4,5,8,10
135,独りんぼエンヴィー,ボーカロイド,2,4,6,
136,バビロン,ボーカロイド,4,7,10,
137,魔法少女幸福論,ボーカロイド,3,6,10,
138,ヤンキーボーイ・ヤンキーガール,ボーカロイド,4,7,11,
139,アザレアの亡霊,ボーカロイド,4,6,9,12
140,人造エネミー,ボーカロイド,3,5,9,11
141,ヘッドフォンアクター,ボーカロイド,3,6,11,
142,メカクシコード,ボーカロイド,3,5,9,12
143,アヤノの幸福理論,ボーカロイド,1,2,4,
144,夕景イエスタデイ,ボーカロイド,2,5,8,
145,アウターサイエンス,ボーカロイド,5,10,12,
146,少年ブレイヴ,ボーカロイド,4,7,10,
147,サマータイムレコード,ボーカロイド,3,7,10,
148,It's a pit world,オリジナル,3,5,9,
149,Flyaway,オリジナル,3,5,10,
150, ,,,,,
151,恋は渾沌の隸也,アニメ・ポップス,2,4,7,11
152,M.S.S. Planet,ボーカロイド,3,5,7,11
153,Groove Prayer,オリジナル,3,5,8,
154,Sayonara Twilight -GC REMIX-,アニメ・ポップス,2,4,6,
155,Flakes,オリジナル,2,4,10,
156,Maiami Sound Beats,オリジナル,2,4,8,
157,終わらないグルーヴ,オリジナル,2,4,8,
158,Under Control,オリジナル,2,4,7,
159,東方音銃夢,東方アレンジ,4,8,11,13
160,東方散楽祭,東方アレンジ,4,7,11,
161,東方不死鳥,東方アレンジ,4,7,12,
162,嗚呼、素晴らしきニャン生,ボーカロイド,4,7,10,
163, ,,,,,
164,エネの電脳紀行,ボーカロイド,3,5,9,
165, ,,,,,
166,Over Drive,ボーカロイド,4,6,8,
167,ワールド・コーリング (TeddyLoid Remix),ボーカロイド,2,5,7,
168,カンフーマスター＝拳,オリジナル,3,6,10,
169,カンフーガール＝ロンメイ,オリジナル,3,6,7,11
170,Roteen da Moon,音楽ゲーム,4,6,10,
171,Hard Head,音楽ゲーム,3,5,8,
172,TGM in the Bottle,音楽ゲーム,5,9,11,
173,Night Life,音楽ゲーム,3,5,10,
174,Sakura Mankai,音楽ゲーム,3,5,9,
175,Spider Control 16th,音楽ゲーム,3,5,10,
176,Arabesque,音楽ゲーム,4,6,10,
177,Stronger,音楽ゲーム,4,6,12,
178,Crowded Town,音楽ゲーム,3,6,10,
179,Phone Dead Room,音楽ゲーム,3,6,9,
180,Whereabouts of curry,ボーカロイド,3,5,8,
181,ANCIENT,ボーカロイド,3,6,10,
182,THE BLUE,ボーカロイド,3,6,8,
183,Help me ERINNNNNN!!,東方アレンジ,3,6,9,
184,ナイト・オブ・ナイツ,東方アレンジ,5,8,11,12
185,ウサテイ2013,東方アレンジ,2,7,12,
186,東方人-TOHO BEAT-,東方アレンジ,4,8,11,
187,グルーヴ・ザ・ハート,オリジナル,4,6,11,
188, ,,,,,
189,魔理沙は大変なものを盗んでいきました,東方アレンジ,4,7,11,
190,チルノのパーフェクトさんすう教室,東方アレンジ,2,7,12,
191,今夜はヴァンピン☆全世界ナイトメア,東方アレンジ,4,6,10,
192,OMAKENO Stroke,オリジナル,5,11,13,
193, ,,,,,
194,CHRONOPHANTASMA,ゲーム,3,6,10,
195,Catus Carnival,ゲーム,4,6,10,
196,Rebellion,ゲーム,4,7,12,
197,Awakening The Chaos,ゲーム,4,6,12,
198,No more labor,オリジナル,2,4,6,
199,comet,オリジナル,3,4,9,
200,ラバー★ポップ,オリジナル,4,6,9,
201,DX超性能フルメタル少女,オリジナル,4,7,13,
202, ,,,,,
203, ,,,,,
204, ,,,,,
205, ,,,,,
206, ,,,,,
207, ,,,,,
208, ,,,,,
209, ,,,,,
210, ,,,,,
211, ,,,,,
212,CELESTIAL,ボーカロイド,4,7,12,
213, ,,,,,
214, ,,,,,
215, ,,,,,
216,outsider,ゲーム,3,5,8,
217,Choose Your Way,ゲーム,3,6,11,
218,The Future,ゲーム,3,5,8,
219,ファンタジーゾーン OPA-OPA! -GMT remix-,ゲーム,3,5,9,
220,RIDGE RACER STEPS -GMT remix-,ゲーム,3,5,9,
221,電車で電車でGO!GO!GO!GC! -GMT remix-,ゲーム,3,6,11,
222,オパ! オパ! RACER -GMT mashup-,ゲーム,4,7,12,
223,リッジでリッジでGO!GO!GO! -GMT mashup-,ゲーム,3,6,10,
224,電車で電車でOPA!OPA!OPA! -GMT mashup-,ゲーム,2,5,9,
225, ,,,,,
226, ,,,,,
227, ,,,,,
228, ,,,,,
229, ,,,,,
230,ジャバヲッキー・ジャバヲッカ,ボーカロイド,3,6,11,
231,シンデレラシンドローム,ボーカロイド,3,6,8,11
232,ダンスダンスデカダンス,ボーカロイド,3,6,11,
233,文学少女インセイン,ボーカロイド,4,9,11,
234,エンヴィキャットウォーク,ボーカロイド,4,8,12,13
235,オレンジ,ボーカロイド,2,4,8,
236,骸骨楽団とリリア,ボーカロイド,5,7,12,
237,九龍レトロ,ボーカロイド,3,5,11,
238,パラジクロロベンゼン,ボーカロイド,2,4,9,11
239,え？あぁ、そう。,ボーカロイド,4,7,10,
240,Departure,ゲーム,1,4,7,
241,Walking Through The Towers,ゲーム,3,6,9,
242,The Orb Festival,ゲーム,3,5,9,
243,Walking Through The Towers -Remix-,ゲーム,4,6,10,
244,Departure -Remix-,ゲーム,2,4,7,
245,A New Journey,ゲーム,1,4,5,
246,Discover from W -Remix-,ゲーム,3,4,7,
247,決戦！！ from Z,ゲーム,2,5,8,
248,Dragon's Den,ゲーム,3,5,8,
249,Inferiority Complex,ゲーム,2,5,8,
250,瞳のLAZhWARD,ゲーム,4,7,10,
251,Soul Evolution,ゲーム,4,7,11,
252,君のいたあの日に (GS2 Version),ゲーム,2,3,5,
253,ってゐ！ ～えいえんてゐver.～,東方アレンジ,3,5,11,
254,リバース・デス,東方アレンジ,4,7,13,
255,響縁,東方アレンジ,3,6,10,
256,待チ人ハ来ズ。,東方アレンジ,2,4,8,
257,囲い無き世は一期の月影,東方アレンジ,4,6,9,12
258,幻想のサテライト,東方アレンジ,3,7,12,
259,Keep the Faith,東方アレンジ,3,7,8,
260,蒼空に舞え、墨染の桜,東方アレンジ,3,5,9,13
261,ケロ9destiny,東方アレンジ,4,7,11,
262,Faint Love,東方アレンジ,3,6,9,
263,I SCREAM,東方アレンジ,3,6,9,
264,Crime Wave,東方アレンジ,3,5,11,
265,FOUR SEASONS OF LONELINESS verβ feat.サリヤ人,東方アレンジ,4,6,10,13
266,Cruel Moon NuMIX,東方アレンジ,3,7,12,
267,CYBER Sparks,東方アレンジ,4,7,13,
268,FullMoon,東方アレンジ,1,5,10,
269,Weave Detonator,バラエティ,4,7,13,
270, ,,,,,
271,Sweet Love,オリジナル,3,5,8,
272,聖者の息吹,オリジナル,4,8,13,
273,メシアの邂逅,オリジナル,4,8,13,
274,平成快晴どってんしゃん,オリジナル,3,5,10,12
275,Play merrily NEO,オリジナル,4,5,10,
276,ID,東方アレンジ,4,7,11,
277,FREE CONNECTION 2 -G.C.スペシャルエディットVer.-,バラエティ,4,6,12,
278,I,東方アレンジ,4,5,8,
279,M.S.S.Phantom,ボーカロイド,3,6,8,
280, ,,,,,
281, ,,,,,
282, ,,,,,
283, ,,,,,
284, ,,,,,
285, ,,,,,
286, ,,,,,
287, ,,,,,
288, ,,,,,
289, ,,,,,
290, ,,,,,
291,D+D→T+p,東方アレンジ,3,6,12,
292,Foughten Field,東方アレンジ,3,6,10,
293,あの日の蜃気楼,東方アレンジ,4,7,11,
294,FLOWER,音楽ゲーム,4,8,14,
295,きたさいたま2000,音楽ゲーム,6,10,14,
296,Garakuta Doll Play,音楽ゲーム,6,10,,
297,Ignis Danse,音楽ゲーム,6,11,14,
298,FUJIN Rumble,オリジナル,6,12,14,
299,VERTeX,音楽ゲーム,5,9,13,
300,Scars of FAUNA,音楽ゲーム,4,7,13,
301,Code: Vermilion [Main Theme],ゲーム,2,4,7,
302,Rhythm Fang Over Sword [Theme: ガイエ街道 奇襲戦],ゲーム,2,4,11,
303,Over the Pride [Theme: 古グリダ城 迎撃戦],ゲーム,2,4,10,
304, ,,,,,
305, ,,,,,
306, ,,,,,
307,カタワレ,ゲーム,3,5,9,
308, ,,,,,
309,STARLIGHT TWILIGHT -GC edit-,オリジナル,3,6,12,
310,零式<Type-ZERO>,オリジナル,5,7,13,
311,Marry me Nightmare,オリジナル,6,12,14,
312,VELVET,オリジナル,4,6,12,
313,VOLT,オリジナル,4,7,12,
314,クリスタライズ！,東方アレンジ,4,7,10,
315,空色デイズ,アニメ・ポップス,2,5,6,
316,ETERNAL BLAZE,アニメ・ポップス,3,5,7,
317,患部で止まってすぐ溶ける　～　狂気の優曇華院,東方アレンジ,4,8,12,13
318, ,,,,,
319,RETROID,バラエティ,4,6,9,12
320,Got noir forever.,オリジナル,6,12,14,
321,2112410403927243233368,バラエティ,4,9,12,14
322,Circuit DISCO,ボーカロイド,3,5,7,
323,Shooting Star-IA-,ボーカロイド,3,5,8,
324,CHRONORISE,ゲーム,3,5,8,
325,Queen of rose,ゲーム,3,6,10,
326,Gluttony Fang,ゲーム,4,6,10,12
327,Lightning strikes,ゲーム,2,4,8,
328,Tragedy Flame,ゲーム,1,4,8,
329,Unknown Pollution,ゲーム,2,5,10,
330,Heavenly Particle,オリジナル,3,6,12,
331,プラグアウト,ボーカロイド,3,5,8,
332,クラブ＝マジェスティ,ボーカロイド,4,7,13,
333,リンネ,ボーカロイド,2,5,9,
334,二次元ドリームフィーバー,ボーカロイド,4,8,12,
335,DYE,ボーカロイド,3,8,11,
336,リモコン,ボーカロイド,4,7,9,11
337,Redial,ボーカロイド,3,5,8,
338, ,,,,,
339,ストロボナイツ,ボーカロイド,2,4,7,
340,Packaged,ボーカロイド,2,4,6,
341,ハジメテノオト,ボーカロイド,2,4,7,
342,ココロ,ボーカロイド,3,5,7,
343,先生と少女騒動 -第一審公判-,ボーカロイド,4,7,10,
344,G ZERO,ゲーム,2,5,8,
345,FAKE (ALR REMIX),ゲーム,3,6,9,
346,The world of spirit,ゲーム,2,5,8,
347,バブルボブルメドレー,ゲーム,4,7,12,
348,Spider's Blood,東方アレンジ,3,7,10,
349,ゆけむり魂温泉,東方アレンジ,3,5,10,12
350,BlazeConductor,東方アレンジ,3,6,11,
351,Halcyon,バラエティ,5,7,11,13
352,Valhalla,バラエティ,4,7,13,
353,Solar Storm,オリジナル,5,10,13,15
354,Endless Seeker,東方アレンジ,3,5,10,
355,天狗の詫び証文,東方アレンジ,4,7,12,
356,最速最高シャッターガール,東方アレンジ,4,7,10,
357,サドマミホリック,東方アレンジ,5,9,12,13
358,MY FIRST FLOWER,東方アレンジ,3,7,10,
359,morning haze,ボーカロイド,2,4,5,
360,秘密警察,ボーカロイド,4,7,13,
361,Change me,ボーカロイド,3,5,9,
362,聖少女サクリファイス,東方アレンジ,4,6,11,
363,7 days a week,東方アレンジ,2,5,9,
364,My Voice is Dead.,東方アレンジ,4,7,12,
365,東方地神律,東方アレンジ,4,7,12,
366,カリソメ,東方アレンジ,3,6,10,
367,FEEL MY BEAT!,東方アレンジ,2,6,11,
368,そして誰もいなくなった,東方アレンジ,1,6,8,
369,beyond the star line,東方アレンジ,3,5,7,
370,未確認幻想コースター,東方アレンジ,3,5,10,11
371,カミノヒ,東方アレンジ,4,8,12,
372,座和々,オリジナル,3,6,11,
373,Stratospheric Journey,オリジナル,3,5,11,
374,QLWA,オリジナル,4,7,11,14
375, ,,,,,
376, ,,,,,
377, ,,,,,
378,orbital,オリジナル,4,6,10,
379,Black MInD,オリジナル,4,9,14,
380,tiny tales continue,オリジナル,4,7,13,
381,"Sign of ""10.5km""",オリジナル,3,7,10,
382,Shiva,オリジナル,4,7,13,
383,Smash a mirror,オリジナル,3,5,9,
384,Got hive of Ra,オリジナル,6,11,13,
385,Negative Return,オリジナル,3,6,9,
386,SiLent ErRors -Un-True-,バラエティ,4,7,11,
387,TAKING OFF,オリジナル,3,4,7,
388,VEGAS,オリジナル,3,5,10,
389,DOTTED 8TH,オリジナル,3,4,9,
390,TRIPLE3T,オリジナル,4,7,11,
391,SETSUNA,ボーカロイド,3,6,10,
392,ドクター=ファンクビート,ボーカロイド,4,8,12,
393,StargazeR,ボーカロイド,3,6,10,
394,Abyssal Withdrawal,ゲーム,2,6,11,
395,Freedom,ゲーム,2,5,8,
396,say PaPa re:mix,ゲーム,3,5,8,
397,COSMIC AIR WAY -Trans Mountain Express MIX-,ゲーム,3,5,9,
398, ,,,,,
399,ウミユリ海底譚,ボーカロイド,1,4,9,10
400,かくしごと,ボーカロイド,4,6,11,
401,だんだん早くなる,ボーカロイド,3,4,9,
402,アブストラクト・ナンセンス,ボーカロイド,3,7,10,
403,みくみくにしてあげる♪【してやんよ】,ボーカロイド,3,6,9,
404,炉心融解,ボーカロイド,3,6,8,
405,サンドリヨン,ボーカロイド,1,5,9,
406,悪ノ娘,ボーカロイド,1,5,9,
407,細い線,東方アレンジ,3,7,10,
408,スターオーシャン,東方アレンジ,2,5,8,
409,月に叢雲華に風,東方アレンジ,3,5,9,
410,アマノジャック,東方アレンジ,1,6,8,9
411,マウストゥーマウス,東方アレンジ,2,4,8,
412,君色サブリミナル,東方アレンジ,2,4,8,
413,鼓動、零れぬ酒,東方アレンジ,2,5,11,
414,色は匂へど散りぬるを(Fractal 1.5ver.),東方アレンジ,1,4,6,
415,明星ロケット,東方アレンジ,3,6,9,
416,シンデレラケージ,東方アレンジ,3,5,10,
417,メイドと血の懐中時計,東方アレンジ,2,5,8,
418,INCOGNITO,東方アレンジ,2,6,11,
419,UFOロマンス,東方アレンジ,4,7,10,
420,I.N.F.E.R.N.O,東方アレンジ,3,6,8,
421,Under The Moon,オリジナル,3,6,11,
422,Groove Prayer -tpz Despair Remix-,オリジナル,5,8,12,
423,Satisfiction (Massive New Krew Remix),オリジナル,5,8,12,
424,We Are The Massive New Krew -GC Edit-,バラエティ,2,6,10,
425,アルカノイドvsインベーダー,ゲーム,4,7,12,
426,W.W.D,アニメ・ポップス,4,7,10,13
427,おつかれサマー！,アニメ・ポップス,4,6,10,11
428,ANTI-HERO,アニメ・ポップス,4,6,11,
429,ズッ友,アニメ・ポップス,3,5,8,
430,STAKEHOLDER,アニメ・ポップス,2,3,7,
431,トキノワ,アニメ・ポップス,2,5,8,
432, ,,,,,
433,Ever Free,バラエティ,3,6,11,
434, ,,,,,
435,Old Heaven,バラエティ,2,5,10,
436,Party 4U -holy nite mix-,バラエティ,3,6,12,
437,conflict,バラエティ,4,8,12,13
438,ukigumo,バラエティ,4,6,10,
439,You Need Fxxkin' Anthem,バラエティ,3,5,8,
440,Disco Descent/Mausoleum Mash,ゲーム,3,5,9,7
441,だんがんろんぱ!　NecroDancer REMIX,ゲーム,3,6,9,
442,Fungal Funk/Portabellohead,ゲーム,3,5,8,
443,議論 -HEAT UP-　NecroDancer REMIX,ゲーム,3,5,9,
444, ,,,,,
445, ,,,,,
446, ,,,,,
447, ,,,,,
448, ,,,,,
449,ピコラセテ,音楽ゲーム,3,5,8,13
450,THIS IS HDM,音楽ゲーム,1,6,10,12
451,Blue Destiny Blue,音楽ゲーム,2,4,8,12
452,Sunglow,音楽ゲーム,2,5,7,
453,"SideStrania ""BOSS2""",ゲーム,3,6,11,
454,Can't come back?,ゲーム,2,5,10,
455,]-[|/34<#!,ゲーム,5,9,13,14
456,燃えるハロウィンタウン,ゲーム,3,5,10,
457,17K,ボーカロイド,4,7,11,
458,飴と鎖,ボーカロイド,2,7,11,
459,Just Be Friends,ボーカロイド,2,4,8,
460,初音ミクの消失,ボーカロイド,5,8,12,14
461,Into Starlight,ボーカロイド,1,5,7,
462,CITRUS,ボーカロイド,3,6,9,
463,ミライ,ボーカロイド,1,4,7,
464,Perverse Love Rock!,ボーカロイド,2,4,8,
465,セツナトリップ,ボーカロイド,3,7,9,11
466,シルバーバレット,ボーカロイド,3,5,9,
467,シリョクケンサ,ボーカロイド,2,5,7,
468,会いたい,ボーカロイド,1,3,5,
469,Holography,ボーカロイド,2,6,9,
470,だってだってだって,ボーカロイド,1,4,7,
471,Miraculous Encounter,ボーカロイド,2,4,7,
472,しわ,ボーカロイド,3,5,10,
473,マーメイド,ボーカロイド,2,5,7,
474,LINK LINK FEVER!!!,オリジナル,3,6,9,
475,Warrior,オリジナル,4,7,13,
476,Bright Lights,オリジナル,4,7,12,
477,KUNG　FU　GIRL,オリジナル,3,6,10,
478,バトル#2 ～ヒゲドライバーMIX～,ゲーム,2,4,6,11
479,ドラゴンスピリットメドレー,ゲーム,2,5,9,
480,バーニングフォースメドレー,ゲーム,3,6,10,
481,I miss you baby,ゲーム,1,4,8,
482,Wizard,ゲーム,3,5,13,
483,You and Me,ゲーム,2,6,11,
484,Overloud,ゲーム,3,6,12,
485,千のクロマ,音楽ゲーム,2,6,12,
486,UFD,音楽ゲーム,3,7,10,13
487,STAGER (ALL STAGE CLEAR),音楽ゲーム,1,6,12,
488,Linear Accelerator,音楽ゲーム,4,8,13,15
489,ECHO,ボーカロイド,2,4,8,
490,どりーみんチュチュ,ボーカロイド,1,5,8,
491,パーティクルパーティ,ボーカロイド,3,7,10,
492,TECHNO COMPLEX,オリジナル,3,8,12,
493,White World feat. 小田ユウ,東方アレンジ,3,6,10,
494,Help me ERINNNNNN!! -Cranky remix-,東方アレンジ,3,7,12,
495,全力バタンキュー,アニメ・ポップス,2,5,8,
496,アスノヨゾラ哨戒班,ボーカロイド,2,5,9,
497,ロストワンの号哭,ボーカロイド,4,7,11,13
498,ネトゲ廃人シュプレヒコール,ボーカロイド,3,7,10,12
499,天ノ弱,ボーカロイド,2,6,10,
500,十面相,ボーカロイド,3,7,10,
501,Bad ∞ End ∞ Night,ボーカロイド,4,7,11,
502,ロミオとシンデレラ,ボーカロイド,3,5,8,10
503,HONEY SUNRiSE,音楽ゲーム,3,6,10,
504,Axeria,音楽ゲーム,4,7,13,
505,でんぱれーどJAPAN,アニメ・ポップス,3,7,10,
506,すーぱーぬこになりたい,アニメ・ポップス,4,7,10,12
507, ,,,,,
508, ,,,,,
509,シュガーソングとビターステップ,アニメ・ポップス,2,6,9,
510,Scarlet Lance,オリジナル,3,10,13,15
511, ,,,,,
512,HG魔改造ポリビニル少年,オリジナル,3,6,12,
513,裏表ラバーズ,ボーカロイド,3,6,10,12
514,ダブルラリアット,ボーカロイド,1,4,7,
515,ローリンガール,ボーカロイド,3,6,8,11
516,ハッピーシンセサイザ,ボーカロイド,1,4,8,11
517,Material of Puppets,東方アレンジ,2,6,11,
518,ジンガイクライシス,東方アレンジ,3,7,12,
519,清らかな幸福,東方アレンジ,3,6,10,
520,Dream Coaster,東方アレンジ,3,7,11,13
521,Ring a bell beautifully -GAME Edit-,東方アレンジ,3,6,12,
522,東方外魔伝,東方アレンジ,4,10,14,
523,仙酌絶唱のファンタジア,東方アレンジ,3,5,11,
524, ,,,,,
525,創聖のアクエリオン,アニメ・ポップス,2,4,7,
526,残酷な天使のテーゼ,アニメ・ポップス,3,4,7,
527,Lust SIN,ゲーム,3,7,11,
528,オレを越えて行け,ゲーム,2,5,11,
529,KALEIDOSCOPE,ゲーム,3,6,8,
530,Reversible Justice,ゲーム,2,6,13,
531, ,,,,,
532,働かずに食う(I Don't Work)［IA Ver.］,ボーカロイド,2,6,11,
533,いーあるふぁんくらぶ,ボーカロイド,2,5,9,
534,エイリアンエイリアン,ボーカロイド,2,5,10,
535,ハイパーゴアムササビスティックディサピアリジーニャス,ボーカロイド,3,7,12,
536,ペルソナリティ・コンプレックス,ボーカロイド,3,6,9,
537, ,,,,,
538, ,,,,,
539, ,,,,,
540,VALLISTA,バラエティ,3,6,11,14
541,AXION,バラエティ,3,7,11,13
542,Future Coaster,オリジナル,4,8,14,
543,WARNING×WARNING×WARNING,東方アレンジ,2,5,9,
544,ワールズエンド・ダンスホール,ボーカロイド,2,5,8,12
545,アストロトルーパー,ボーカロイド,2,6,8,10
546,脱法ロック,ボーカロイド,2,6,10,10
547,ピリオドのない世界,ゲーム,1,5,9,
548,Got more raves? -xiRemix-,オリジナル,7,13,15,
549, ,,,,,
550,からくりピエロ,ボーカロイド,1,4,9,
551,深海シティアンダーグラウンド,ボーカロイド,2,6,8,
552,初音ミクの暴走,ボーカロイド,3,8,12,14
553,Moonbound feat. Yukacco,バラエティ,2,5,9,
554,クレープ・to・ミー。,オリジナル,3,5,7,
555,東京テディベア,ボーカロイド,3,5,8,
556,カノン,バラエティ,2,4,6,9
557,無邪気と言う名の正義,東方アレンジ,2,6,9,
558,コノハズク,東方アレンジ,3,7,12,14
559,フルボッコ,アニメ・ポップス,3,6,11,
560,影の伝説 ～豚乙女mix～,ゲーム,3,7,13,
561,あのね…実はわたし、夢眠ねむなんだ…,ボーカロイド,4,9,11,13
562,安全運転♥ムジ娘ちゃん,ボーカロイド,3,6,11,
563,すうぃーと☆プラネット,ボーカロイド,2,5,8,
564,脱獄,ボーカロイド,3,6,10,
565,月夜ノ森,ボーカロイド,2,7,12,
566,恋愛裁判,ボーカロイド,3,4,8,
567,MAD FREAKS,オリジナル,3,7,13,
568,MIRACLE PARTY,オリジナル,3,6,12,
569,MERLIN,オリジナル,3,7,12,
570,Good Night Bad Luck.,オリジナル,7,13,15,
571,Extra Mode,バラエティ,3,7,10,12
572,Border of Colour,東方アレンジ,3,6,11,
573,Sad Rain,東方アレンジ,3,6,13,
574,ジョーカー・ジュンコ ～ 永遠の純化,東方アレンジ,4,8,12,13
575,幻想の旅人へ ～ Catch the Heart,東方アレンジ,2,5,11,
576,tete+a+tete,東方アレンジ,3,6,12,
577,DIVINE PLACE,東方アレンジ,2,5,11,
578,チルノのパーフェクトさんすう教室　9周年バージョン,東方アレンジ,2,7,12,
579,フロストガール,東方アレンジ,2,5,10,
580,九十九星降,東方アレンジ,2,5,10,
581,マーメイドダンス,東方アレンジ,4,8,13,
582,Grow Bigger!!,東方アレンジ,2,5,12,
583,東方輝仁裂,東方アレンジ,5,10,15,
584,ENDLESS DREAM -GC Mix-,ボーカロイド,3,5,12,
585,PaⅢ.SENSATION,ボーカロイド,3,7,12,
586,Gloria,ゲーム,2,7,10,
587,RAVE WAR,ゲーム,3,7,10,
588, ,,,,,
589,極圏,音楽ゲーム,4,8,14,
590,怒槌,音楽ゲーム,5,9,14,
591,セイクリッド ルイン,音楽ゲーム,4,7,13,
